Zeit,Temperatur,Feuchtigkeit,Diversitaets-Index,Feldtyp,Feld,Jahrestag,Tag,Woche,Monat
2024-01-02 00:00:00,13.46,78.07,35,Kartoffeln,4,2,2,1,1
2024-01-02 00:00:00,9.89,74.15,47,Karotten,5,2,2,1,1
2024-01-02 01:00:00,12.37,69.11,36,Karotten,1,2,2,1,1
2024-01-02 01:00:00,14.3,87.01,23,Pastinaken,2,2,2,1,1
2024-01-02 01:00:00,10.07,79.22,73,Nutzhanf,3,2,2,1,1
2024-01-02 01:00:00,9.45,85.16,31,Kartoffeln,4,2,2,1,1
2024-01-02 01:00:00,13.02,76.86,31,Karotten,5,2,2,1,1
2024-01-02 02:00:00,7.15,75.64,67,Karotten,1,2,2,1,1
2024-01-02 02:00:00,13.61,85.32,28,Pastinaken,2,2,2,1,1
2024-01-02 02:00:00,11.26,82.17,50,Nutzhanf,3,2,2,1,1
2024-01-02 02:00:00,10.98,80.16,50,Kartoffeln,4,2,2,1,1
2024-01-02 02:00:00,10.17,72.47,37,Karotten,5,2,2,1,1
2024-01-02 03:00:00,13.35,80.84,32,Karotten,1,2,2,1,1
2024-01-02 03:00:00,10.0,69.06,43,Pastinaken,2,2,2,1,1
2024-01-02 03:00:00,11.55,81.56,64,Nutzhanf,3,2,2,1,1
2024-01-02 03:00:00,12.45,89.38,33,Kartoffeln,4,2,2,1,1
2024-01-02 03:00:00,10.77,80.9,43,Karotten,5,2,2,1,1
2024-01-02 04:00:00,14.21,83.29,48,Karotten,1,2,2,1,1
2024-01-02 04:00:00,10.86,81.21,59,Pastinaken,2,2,2,1,1
2024-01-02 04:00:00,8.85,82.72,64,Nutzhanf,3,2,2,1,1
2024-01-02 04:00:00,12.41,75.42,45,Kartoffeln,4,2,2,1,1
2024-01-02 04:00:00,10.05,75.99,45,Karotten,5,2,2,1,1
2024-01-02 05:00:00,11.54,81.46,80,Karotten,1,2,2,1,1
2024-01-02 05:00:00,14.6,76.78,31,Pastinaken,2,2,2,1,1
2024-01-02 05:00:00,11.3,80.27,59,Nutzhanf,3,2,2,1,1
2024-01-02 05:00:00,15.44,79.72,43,Kartoffeln,4,2,2,1,1
2024-01-02 05:00:00,13.01,83.58,27,Karotten,5,2,2,1,1
2024-01-02 06:00:00,11.38,74.83,26,Karotten,1,2,2,1,1
2024-01-02 06:00:00,14.4,79.58,49,Pastinaken,2,2,2,1,1
2024-01-02 06:00:00,11.64,81.43,74,Nutzhanf,3,2,2,1,1
2024-01-02 06:00:00,14.56,86.88,17,Kartoffeln,4,2,2,1,1
2024-01-02 06:00:00,12.25,82.98,20,Karotten,5,2,2,1,1
2024-01-02 07:00:00,12.17,81.08,42,Karotten,1,2,2,1,1
2024-01-02 07:00:00,14.33,81.98,47,Pastinaken,2,2,2,1,1
2024-01-02 07:00:00,13.55,77.18,60,Nutzhanf,3,2,2,1,1
2024-01-02 07:00:00,13.87,81.39,34,Kartoffeln,4,2,2,1,1
2024-01-02 07:00:00,14.5,80.97,34,Karotten,5,2,2,1,1
2024-01-02 08:00:00,8.59,75.72,29,Karotten,1,2,2,1,1
2024-01-02 08:00:00,14.96,83.32,23,Pastinaken,2,2,2,1,1
2024-01-02 08:00:00,10.84,79.61,63,Nutzhanf,3,2,2,1,1
2024-01-02 08:00:00,10.69,78.77,59,Kartoffeln,4,2,2,1,1
2024-01-02 08:00:00,11.42,75.77,49,Karotten,5,2,2,1,1
2024-01-02 09:00:00,11.53,78.82,47,Karotten,1,2,2,1,1
2024-01-02 09:00:00,12.02,81.33,66,Pastinaken,2,2,2,1,1
2024-01-02 09:00:00,13.55,76.9,61,Nutzhanf,3,2,2,1,1
2024-01-02 09:00:00,13.45,88.65,19,Kartoffeln,4,2,2,1,1
2024-01-02 09:00:00,11.57,78.87,22,Karotten,5,2,2,1,1
2024-01-02 10:00:00,14.06,83.79,24,Karotten,1,2,2,1,1
2024-01-02 10:00:00,10.58,78.26,65,Pastinaken,2,2,2,1,1
2024-01-02 10:00:00,12.8,78.06,50,Nutzhanf,3,2,2,1,1
2024-01-02 10:00:00,12.64,85.62,16,Kartoffeln,4,2,2,1,1
2024-01-02 10:00:00,13.87,76.12,46,Karotten,5,2,2,1,1
2024-01-02 11:00:00,13.98,81.45,64,Karotten,1,2,2,1,1
2024-01-02 11:00:00,11.63,71.85,18,Pastinaken,2,2,2,1,1
2024-01-02 11:00:00,13.06,80.42,69,Nutzhanf,3,2,2,1,1
2024-01-02 11:00:00,13.87,77.89,45,Kartoffeln,4,2,2,1,1
2024-01-02 11:00:00,14.31,78.82,17,Karotten,5,2,2,1,1
2024-01-02 12:00:00,13.08,79.45,48,Karotten,1,2,2,1,1
2024-01-02 12:00:00,11.36,83.63,24,Pastinaken,2,2,2,1,1
2024-01-02 12:00:00,11.2,85.18,75,Nutzhanf,3,2,2,1,1
2024-01-02 12:00:00,9.0,78.4,47,Kartoffeln,4,2,2,1,1
2024-01-02 12:00:00,11.27,83.16,18,Karotten,5,2,2,1,1
2024-01-02 13:00:00,10.25,79.43,70,Karotten,1,2,2,1,1
2024-01-02 13:00:00,13.23,74.03,21,Pastinaken,2,2,2,1,1
2024-01-02 13:00:00,9.0,62.4,75,Nutzhanf,3,2,2,1,1
2024-01-02 13:00:00,12.51,77.77,47,Kartoffeln,4,2,2,1,1
2024-01-02 13:00:00,8.86,77.99,67,Karotten,5,2,2,1,1
2024-01-02 14:00:00,13.25,84.07,49,Karotten,1,2,2,1,1
2024-01-02 14:00:00,12.04,87.14,39,Pastinaken,2,2,2,1,1
2024-01-02 14:00:00,15.49,75.81,83,Nutzhanf,3,2,2,1,1
2024-01-02 14:00:00,12.37,74.97,17,Kartoffeln,4,2,2,1,1
2024-01-02 14:00:00,13.6,85.08,29,Karotten,5,2,2,1,1
2024-01-02 15:00:00,15.33,85.68,55,Karotten,1,2,2,1,1
2024-01-02 15:00:00,12.8,79.37,23,Pastinaken,2,2,2,1,1
2024-01-02 15:00:00,9.55,80.7,61,Nutzhanf,3,2,2,1,1
2024-01-02 15:00:00,11.9,74.21,69,Kartoffeln,4,2,2,1,1
2024-01-02 15:00:00,13.33,84.43,31,Karotten,5,2,2,1,1
2024-01-02 16:00:00,13.58,75.3,63,Karotten,1,2,2,1,1
2024-01-02 16:00:00,10.93,70.39,34,Pastinaken,2,2,2,1,1
2024-01-02 16:00:00,9.46,82.91,73,Nutzhanf,3,2,2,1,1
2024-01-02 16:00:00,12.22,76.19,76,Kartoffeln,4,2,2,1,1
2024-01-02 16:00:00,13.85,80.33,43,Karotten,5,2,2,1,1
2024-01-02 17:00:00,9.88,82.23,45,Karotten,1,2,2,1,1
2024-01-02 17:00:00,12.67,78.27,12,Pastinaken,2,2,2,1,1
2024-01-02 17:00:00,12.76,79.05,77,Nutzhanf,3,2,2,1,1
2024-01-02 17:00:00,14.62,74.8,64,Kartoffeln,4,2,2,1,1
2024-01-02 17:00:00,13.0,69.82,24,Karotten,5,2,2,1,1
2024-01-02 18:00:00,10.86,85.1,73,Karotten,1,2,2,1,1
2024-01-02 18:00:00,13.2,84.37,10,Pastinaken,2,2,2,1,1
2024-01-02 18:00:00,9.68,83.07,57,Nutzhanf,3,2,2,1,1
2024-01-02 18:00:00,11.24,77.09,44,Kartoffeln,4,2,2,1,1
2024-01-02 18:00:00,8.68,79.42,50,Karotten,5,2,2,1,1
2024-01-02 19:00:00,11.93,87.09,66,Karotten,1,2,2,1,1
2024-01-02 19:00:00,14.45,86.17,52,Pastinaken,2,2,2,1,1
2024-01-02 19:00:00,15.36,83.99,84,Nutzhanf,3,2,2,1,1
2024-01-02 19:00:00,13.53,76.41,56,Kartoffeln,4,2,2,1,1
2024-01-02 19:00:00,11.23,89.56,28,Karotten,5,2,2,1,1
2024-01-02 20:00:00,8.03,79.64,10,Karotten,1,2,2,1,1
2024-01-02 20:00:00,11.01,81.89,56,Pastinaken,2,2,2,1,1
2024-01-02 20:00:00,11.58,88.61,80,Nutzhanf,3,2,2,1,1
2024-01-02 20:00:00,14.5,78.97,41,Kartoffeln,4,2,2,1,1
2024-01-02 20:00:00,8.87,76.59,36,Karotten,5,2,2,1,1
2024-01-02 21:00:00,16.18,81.7,25,Karotten,1,2,2,1,1
2024-01-02 21:00:00,13.24,82.4,39,Pastinaken,2,2,2,1,1
2024-01-02 21:00:00,11.5,74.12,50,Nutzhanf,3,2,2,1,1
2024-01-02 21:00:00,15.35,80.06,80,Kartoffeln,4,2,2,1,1
2024-01-02 21:00:00,15.36,76.71,33,Karotten,5,2,2,1,1
2024-01-02 22:00:00,12.53,73.94,44,Karotten,1,2,2,1,1
2024-01-02 22:00:00,11.17,77.29,31,Pastinaken,2,2,2,1,1
2024-01-02 22:00:00,9.76,71.89,64,Nutzhanf,3,2,2,1,1
2024-01-02 22:00:00,12.91,69.03,52,Kartoffeln,4,2,2,1,1
2024-01-02 22:00:00,9.49,78.27,33,Karotten,5,2,2,1,1
2024-01-02 23:00:00,11.61,75.36,56,Karotten,1,2,2,1,1
2024-01-02 23:00:00,10.54,80.71,30,Pastinaken,2,2,2,1,1
2024-01-02 23:00:00,12.07,73.36,57,Nutzhanf,3,2,2,1,1
2024-01-02 23:00:00,15.35,84.6,30,Kartoffeln,4,2,2,1,1
2024-01-02 23:00:00,14.24,71.25,27,Karotten,5,2,2,1,1
2024-01-03 00:00:00,7.66,74.16,14,Karotten,1,3,3,1,1
2024-01-03 00:00:00,11.98,81.47,12,Pastinaken,2,3,3,1,1
2024-01-03 00:00:00,13.92,79.93,85,Nutzhanf,3,3,3,1,1
2024-01-03 00:00:00,11.49,74.97,32,Kartoffeln,4,3,3,1,1
2024-01-03 00:00:00,14.35,82.65,60,Karotten,5,3,3,1,1
2024-01-03 01:00:00,13.91,79.29,35,Karotten,1,3,3,1,1
2024-01-03 01:00:00,17.14,86.32,45,Pastinaken,2,3,3,1,1
2024-01-03 01:00:00,12.97,78.86,89,Nutzhanf,3,3,3,1,1
2024-01-03 01:00:00,12.99,83.69,31,Kartoffeln,4,3,3,1,1
2024-01-03 01:00:00,14.03,74.16,32,Karotten,5,3,3,1,1
2024-01-03 02:00:00,12.22,70.44,49,Karotten,1,3,3,1,1
2024-01-03 02:00:00,11.84,84.8,38,Pastinaken,2,3,3,1,1
2024-01-03 02:00:00,13.26,75.55,70,Nutzhanf,3,3,3,1,1
2024-01-03 02:00:00,13.36,89.9,40,Kartoffeln,4,3,3,1,1
2024-01-03 02:00:00,15.83,86.32,39,Karotten,5,3,3,1,1
2024-01-03 03:00:00,13.8,88.1,48,Karotten,1,3,3,1,1
2024-01-03 03:00:00,16.48,80.24,31,Pastinaken,2,3,3,1,1
2024-01-03 03:00:00,11.11,74.43,78,Nutzhanf,3,3,3,1,1
2024-01-03 03:00:00,10.25,82.3,55,Kartoffeln,4,3,3,1,1
2024-01-03 03:00:00,9.4,82.57,63,Karotten,5,3,3,1,1
2024-01-03 04:00:00,15.22,77.17,31,Karotten,1,3,3,1,1
2024-01-03 04:00:00,13.91,80.76,49,Pastinaken,2,3,3,1,1
2024-01-03 04:00:00,11.73,78.19,70,Nutzhanf,3,3,3,1,1
2024-01-03 04:00:00,13.25,90.43,33,Kartoffeln,4,3,3,1,1
2024-01-03 04:00:00,13.61,77.79,31,Karotten,5,3,3,1,1
2024-01-03 05:00:00,10.26,77.99,34,Karotten,1,3,3,1,1
2024-01-03 05:00:00,8.42,82.58,47,Pastinaken,2,3,3,1,1
2024-01-03 05:00:00,12.16,86.26,60,Nutzhanf,3,3,3,1,1
2024-01-03 05:00:00,8.6,84.17,40,Kartoffeln,4,3,3,1,1
2024-01-03 05:00:00,13.36,83.5,44,Karotten,5,3,3,1,1
2024-01-03 06:00:00,11.53,83.22,40,Karotten,1,3,3,1,1
2024-01-03 06:00:00,12.74,82.78,15,Pastinaken,2,3,3,1,1
2024-01-03 06:00:00,11.44,90.12,77,Nutzhanf,3,3,3,1,1
2024-01-03 06:00:00,13.38,81.44,15,Kartoffeln,4,3,3,1,1
2024-01-03 06:00:00,11.69,77.38,40,Karotten,5,3,3,1,1
2024-01-03 07:00:00,10.45,86.24,56,Karotten,1,3,3,1,1
2024-01-03 07:00:00,11.89,78.22,50,Pastinaken,2,3,3,1,1
2024-01-03 07:00:00,11.24,70.84,66,Nutzhanf,3,3,3,1,1
2024-01-03 07:00:00,14.79,78.68,38,Kartoffeln,4,3,3,1,1
2024-01-03 07:00:00,12.44,86.12,49,Karotten,5,3,3,1,1
2024-01-03 08:00:00,8.0,83.22,32,Karotten,1,3,3,1,1
2024-01-03 08:00:00,13.61,67.93,24,Pastinaken,2,3,3,1,1
2024-01-03 08:00:00,13.58,78.65,70,Nutzhanf,3,3,3,1,1
2024-01-03 08:00:00,11.33,74.83,44,Kartoffeln,4,3,3,1,1
2024-01-03 08:00:00,9.8,85.41,35,Karotten,5,3,3,1,1
2024-01-03 09:00:00,9.59,80.16,51,Karotten,1,3,3,1,1
2024-01-03 09:00:00,15.47,83.29,25,Pastinaken,2,3,3,1,1
2024-01-03 09:00:00,12.67,80.13,63,Nutzhanf,3,3,3,1,1
2024-01-03 09:00:00,17.66,78.94,32,Kartoffeln,4,3,3,1,1
2024-01-03 09:00:00,15.35,78.88,33,Karotten,5,3,3,1,1
2024-01-03 10:00:00,13.52,84.8,33,Karotten,1,3,3,1,1
2024-01-03 10:00:00,6.62,83.35,50,Pastinaken,2,3,3,1,1
2024-01-03 10:00:00,17.16,85.96,100,Nutzhanf,3,3,3,1,1
2024-01-03 10:00:00,11.19,77.96,71,Kartoffeln,4,3,3,1,1
2024-01-03 10:00:00,12.65,77.12,30,Karotten,5,3,3,1,1
2024-01-03 11:00:00,13.7,77.22,28,Karotten,1,3,3,1,1
2024-01-03 11:00:00,9.94,82.12,57,Pastinaken,2,3,3,1,1
2024-01-03 11:00:00,12.76,75.21,97,Nutzhanf,3,3,3,1,1
2024-01-03 11:00:00,10.08,71.88,28,Kartoffeln,4,3,3,1,1
2024-01-03 11:00:00,13.48,79.12,64,Karotten,5,3,3,1,1
2024-01-03 12:00:00,13.74,86.12,34,Karotten,1,3,3,1,1
2024-01-03 12:00:00,9.47,86.0,11,Pastinaken,2,3,3,1,1
2024-01-03 12:00:00,11.09,76.55,86,Nutzhanf,3,3,3,1,1
2024-01-03 12:00:00,13.29,79.35,30,Kartoffeln,4,3,3,1,1
2024-01-03 12:00:00,8.74,71.57,11,Karotten,5,3,3,1,1
2024-01-03 13:00:00,12.49,78.31,47,Karotten,1,3,3,1,1
2024-01-03 13:00:00,9.87,74.59,29,Pastinaken,2,3,3,1,1
2024-01-03 13:00:00,9.94,78.51,65,Nutzhanf,3,3,3,1,1
2024-01-03 13:00:00,14.54,75.93,10,Kartoffeln,4,3,3,1,1
2024-01-03 13:00:00,13.69,75.03,25,Karotten,5,3,3,1,1
2024-01-03 14:00:00,12.47,79.07,36,Karotten,1,3,3,1,1
2024-01-03 14:00:00,10.64,85.72,31,Pastinaken,2,3,3,1,1
2024-01-03 14:00:00,15.37,78.85,59,Nutzhanf,3,3,3,1,1
2024-01-03 14:00:00,13.28,73.18,38,Kartoffeln,4,3,3,1,1
2024-01-03 14:00:00,9.7,84.39,51,Karotten,5,3,3,1,1
2024-01-03 15:00:00,12.55,74.15,34,Karotten,1,3,3,1,1
2024-01-03 15:00:00,14.89,82.54,34,Pastinaken,2,3,3,1,1
2024-01-03 15:00:00,12.35,78.6,86,Nutzhanf,3,3,3,1,1
2024-01-03 15:00:00,13.16,76.0,49,Kartoffeln,4,3,3,1,1
2024-01-03 15:00:00,11.89,82.48,43,Karotten,5,3,3,1,1
2024-01-03 16:00:00,10.14,80.87,27,Karotten,1,3,3,1,1
2024-01-03 16:00:00,10.58,91.65,15,Pastinaken,2,3,3,1,1
2024-01-03 16:00:00,14.76,83.3,59,Nutzhanf,3,3,3,1,1
2024-01-03 16:00:00,12.62,76.58,20,Kartoffeln,4,3,3,1,1
2024-01-03 16:00:00,12.08,83.57,24,Karotten,5,3,3,1,1
2024-01-03 17:00:00,13.13,72.09,60,Karotten,1,3,3,1,1
2024-01-03 17:00:00,12.89,78.46,58,Pastinaken,2,3,3,1,1
2024-01-03 17:00:00,11.33,86.62,54,Nutzhanf,3,3,3,1,1
2024-01-03 17:00:00,13.13,79.58,49,Kartoffeln,4,3,3,1,1
2024-01-03 17:00:00,14.13,84.03,11,Karotten,5,3,3,1,1
2024-01-03 18:00:00,13.01,76.15,39,Karotten,1,3,3,1,1
2024-01-03 18:00:00,13.18,84.27,49,Pastinaken,2,3,3,1,1
2024-01-03 18:00:00,11.83,77.56,81,Nutzhanf,3,3,3,1,1
2024-01-03 18:00:00,11.92,67.0,30,Kartoffeln,4,3,3,1,1
2024-01-03 18:00:00,12.18,75.76,22,Karotten,5,3,3,1,1
2024-01-03 19:00:00,9.61,81.85,25,Karotten,1,3,3,1,1
2024-01-03 19:00:00,12.77,69.31,51,Pastinaken,2,3,3,1,1
2024-01-03 19:00:00,13.64,74.66,76,Nutzhanf,3,3,3,1,1
2024-01-03 19:00:00,13.86,79.74,27,Kartoffeln,4,3,3,1,1
2024-01-03 19:00:00,13.9,82.11,45,Karotten,5,3,3,1,1
2024-01-03 20:00:00,9.62,78.79,64,Karotten,1,3,3,1,1
2024-01-03 20:00:00,11.25,90.28,32,Pastinaken,2,3,3,1,1
2024-01-03 20:00:00,14.39,80.45,69,Nutzhanf,3,3,3,1,1
2024-01-03 20:00:00,5.69,84.8,42,Kartoffeln,4,3,3,1,1
2024-01-03 20:00:00,14.36,79.61,47,Karotten,5,3,3,1,1
2024-01-03 21:00:00,15.55,76.85,78,Karotten,1,3,3,1,1
2024-01-03 21:00:00,9.53,77.28,31,Pastinaken,2,3,3,1,1
2024-01-03 21:00:00,13.86,71.33,62,Nutzhanf,3,3,3,1,1
2024-01-03 21:00:00,10.86,74.36,65,Kartoffeln,4,3,3,1,1
2024-01-03 21:00:00,17.3,81.15,71,Karotten,5,3,3,1,1
